image_id,split,density,true_n_objects,otsu_threshold,n_objects,mean_area,median_area,std_area,coverage_pct,mean_eccentricity,mean_solidity,mean_intensity,count_error,count_pct_error
train_059,train,clustered,45,107.0,20,302.15,254.5,273.59,9.22,0.603,0.953,197.79,-25,-55.55555555555556
train_060,train,sparse,7,96.0,7,143.57,140.0,51.97,1.53,0.554,0.966,188.75,0,0.0
train_061,train,normal,20,96.0,19,159.84,176.0,79.26,4.63,0.526,0.965,181.68,-1,-5.0
train_062,train,normal,27,102.0,21,237.62,204.0,149.31,7.61,0.678,0.945,185.34,-6,-22.22222222222222
train_063,train,normal,33,97.0,25,224.12,215.0,123.67,8.55,0.616,0.949,182.88,-8,-24.242424242424242
train_064,train,dense,73,107.0,38,312.16,266.0,223.66,18.1,0.67,0.917,191.9,-35,-47.945205479452056
train_065,train,clustered,60,98.0,18,419.11,165.0,675.5,11.51,0.591,0.93,170.88,-42,-70.0
train_066,train,sparse,7,101.0,6,195.5,202.0,56.09,1.79,0.541,0.983,195.05,-1,-14.285714285714286
train_067,train,normal,17,104.0,14,183.43,158.5,130.43,3.92,0.633,0.96,190.41,-3,-17.647058823529413
train_068,train,normal,39,103.0,26,276.08,209.0,247.46,10.95,0.638,0.951,187.01,-13,-33.333333333333336
train_069,train,normal,27,100.0,22,203.91,136.0,125.79,6.85,0.553,0.957,183.97,-5,-18.51851851851852
train_070,train,dense,53,106.0,34,246.94,162.0,216.9,12.81,0.661,0.94,187.5,-19,-35.84905660377358
train_071,train,clustered,34,102.0,13,421.15,270.0,447.81,8.35,0.682,0.914,191.58,-21,-61.76470588235294
train_072,train,sparse,8,95.0,8,119.0,99.5,55.55,1.45,0.659,0.979,183.27,0,0.0
train_073,train,normal,36,100.0,29,211.76,163.0,154.64,9.37,0.597,0.952,185.81,-7,-19.444444444444443
train_074,train,normal,38,104.0,26,239.81,221.5,171.81,9.51,0.625,0.937,187.92,-12,-31.57894736842105
train_075,train,normal,22,103.0,20,212.65,175.5,147.63,6.49,0.598,0.972,192.15,-2,-9.090909090909092
train_076,train,dense,80,101.0,33,407.97,248.0,410.77,20.54,0.72,0.897,186.58,-47,-58.75
train_077,train,clustered,42,104.0,15,350.6,240.0,380.95,8.02,0.663,0.939,184.31,-27,-64.28571428571429
train_078,train,sparse,10,105.0,10,180.3,148.0,120.92,2.75,0.528,0.979,185.56,0,0.0
train_079,train,normal,29,100.0,16,345.81,308.0,228.8,8.44,0.685,0.915,179.97,-13,-44.827586206896555
val_000,val,sparse,5,80.0,5,130.8,137.0,56.82,1.0,0.51,0.963,161.25,0,0.0
val_001,val,normal,31,106.0,24,182.67,142.5,111.77,6.69,0.631,0.952,190.72,-7,-22.580645161290324
val_002,val,normal,17,94.0,16,174.06,166.5,89.66,4.25,0.611,0.973,185.38,-1,-5.882352941176471
val_003,val,normal,36,103.0,27,248.78,224.0,146.08,10.25,0.613,0.952,191.26,-9,-25.0
val_004,val,dense,81,100.0,39,332.77,256.0,230.49,19.8,0.692,0.914,185.97,-42,-51.851851851851855
val_005,val,clustered,48,103.0,15,461.13,265.0,603.82,10.55,0.634,0.919,187.04,-33,-68.75
val_006,val,sparse,9,98.0,8,217.88,188.0,113.7,2.66,0.646,0.963,183.46,-1,-11.11111111111111
val_007,val,normal,29,96.0,19,269.11,204.0,223.39,7.8,0.664,0.937,174.76,-10,-34.48275862068966
val_008,val,normal,25,100.0,21,247.71,227.0,140.29,7.94,0.618,0.954,184.59,-4,-16.0
val_009,val,normal,20,97.0,20,152.6,117.0,92.18,4.66,0.613,0.974,180.3,0,0.0
val_010,val,dense,64,98.0,43,215.09,134.0,204.67,14.11,0.635,0.956,176.54,-21,-32.8125
val_011,val,clustered,32,98.0,14,300.57,157.0,415.67,6.42,0.641,0.954,181.32,-18,-56.25
val_012,val,sparse,8,100.0,8,161.75,165.0,46.31,1.97,0.587,0.971,186.33,0,0.0
val_013,val,normal,27,98.0,24,184.25,162.5,95.68,6.75,0.674,0.956,182.02,-3,-11.11111111111111
val_014,val,normal,21,95.0,16,264.69,187.0,207.98,6.46,0.689,0.943,183.07,-5,-23.80952380952381
val_015,val,normal,26,95.0,21,242.29,206.0,130.09,7.76,0.655,0.944,174.03,-5,-19.23076923076923
val_016,val,dense,62,106.0,36,273.33,205.5,252.56,15.01,0.671,0.948,189.81,-26,-41.935483870967744
val_017,val,clustered,49,105.0,19,318.37,186.0,266.71,9.23,0.609,0.954,191.19,-30,-61.224489795918366
val_018,val,sparse,7,98.0,7,172.86,198.0,46.87,1.85,0.497,0.969,182.37,0,0.0
val_019,val,normal,19,97.0,18,183.28,199.0,86.23,5.03,0.662,0.96,178.68,-1,-5.2631578947368425
test_000,test,sparse,8,85.0,8,191.75,173.5,104.68,2.34,0.622,0.973,167.01,0,0.0
test_001,test,normal,19,97.0,14,199.07,160.0,164.2,4.25,0.623,0.959,173.6,-5,-26.31578947368421
test_002,test,normal,31,95.0,22,260.5,224.0,190.83,8.74,0.677,0.932,176.82,-9,-29.032258064516128
test_003,test,normal,21,104.0,19,200.53,197.0,103.96,5.81,0.681,0.968,188.92,-2,-9.523809523809524
test_004,test,dense,75,99.0,39,360.56,243.0,312.94,21.46,0.663,0.917,187.2,-36,-48.0
test_005,test,clustered,49,102.0,14,458.64,240.5,557.02,9.8,0.626,0.93,186.36,-35,-71.42857142857143
test_006,test,sparse,8,115.0,8,193.5,207.0,102.81,2.36,0.619,0.971,203.11,0,0.0
test_007,test,normal,30,99.0,23,202.39,142.0,159.72,7.1,0.629,0.957,183.72,-7,-23.333333333333332
test_008,test,normal,28,99.0,21,259.86,178.0,237.97,8.33,0.606,0.946,183.99,-7,-25.0
test_009,test,normal,24,97.0,21,178.0,134.0,102.32,5.7,0.596,0.97,176.51,-3,-12.5
test_010,test,dense,78,107.0,33,394.06,198.0,504.73,19.84,0.705,0.913,186.82,-45,-57.69230769230769
test_011,test,clustered,30,105.0,17,213.29,152.0,200.1,5.53,0.683,0.942,185.16,-13,-43.333333333333336
